,occ_brazil,occ_canada,occ_france,occ_germany,occ_italy,occ_mexico,occ_peru,occ_spain,occ_sweden,occ_usa,occ_count_tokens_overall,freq_brazil,tf_idf_brazil,freq_canada,tf_idf_canada,freq_france,tf_idf_france,freq_germany,tf_idf_germany,freq_italy,tf_idf_italy,freq_mexico,tf_idf_mexico,freq_peru,tf_idf_peru,freq_spain,tf_idf_spain,freq_sweden,tf_idf_sweden,freq_usa,tf_idf_usa
thursday,2,0,0,1,0,0,0,1,1,0,5,0.00018147173577715272,6.214003825827171e-05,0.0,0.0,0.0,0.0,0.0001330671989354624,4.556522698898287e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.464914899970141e-05,2.5561561721574075e-05,0.0001289490651192779,4.415508456766039e-05,0.0,0.0
thus,3,2,4,0,2,0,0,2,1,0,14,0.00027220760366572906,-2.8509758784142907e-05,0.0004967709885742673,-5.202948361649925e-05,0.00028762493708204504,-3.012449860358467e-05,0.0,-0.0,0.0003631741420010895,-3.8037171062289085e-05,0.0,-0.0,0.0,-0.0,0.00014929829799940282,-1.5636809573008807e-05,0.0001289490651192779,-1.3505525534495552e-05,0.0,-0.0
ticket,6,0,4,2,0,3,0,25,3,0,43,0.0005444152073314581,-0.0003223350533098783,0.0,-0.0,0.00028762493708204504,-0.00017029575621524745,0.0002661343978709248,-0.00015757172865505295,0.0,-0.0,0.0001622147723586028,-9.604343631794552e-05,0.0,-0.0,0.0018662287249925351,-0.0011049488101324305,0.00038684719535783365,-0.0002290428512268323,0.0,-0.0
tidal,0,1,2,0,1,0,0,0,0,0,4,0.0,0.0,0.00024838549428713363,0.00010912386831352773,0.00014381246854102252,6.318151921050733e-05,0.0,0.0,0.00018158707100054475,7.977713706741649e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tide,0,1,0,0,2,3,0,0,0,0,6,0.0,0.0,0.00024838549428713363,6.538535389333865e-05,0.0,0.0,0.0,0.0,0.0003631741420010895,9.560248221339436e-05,0.0001622147723586028,4.27016494173107e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tie,2,1,1,1,1,3,0,2,1,0,12,0.00018147173577715272,-6.857555737120008e-06,0.00024838549428713363,-9.386130374913015e-06,7.190623427051126e-05,-2.7172331120586615e-06,0.0001330671989354624,-5.028417949354597e-06,0.00018158707100054475,-6.861914089231851e-06,0.0001622147723586028,-6.1298628024331895e-06,0.0,-0.0,0.00014929829799940282,-5.64176782463419e-06,0.0001289490651192779,-4.872799598891013e-06,0.0,-0.0
tier,0,0,0,0,0,1,0,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.407159078620093e-05,4.00325883797039e-05,0.0,0.0,0.0,0.0,0.0001289490651192779,9.546907665947697e-05,0.0,0.0
tight,2,0,1,0,1,2,0,0,0,1,7,0.00018147173577715272,3.562192997803615e-05,0.0,0.0,7.190623427051126e-05,1.4114808739769051e-05,0.0,0.0,0.00018158707100054475,3.564456966478449e-05,0.00010814318157240186,2.1227927451494342e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005361930294906167,0.00010525182045252988
tightly,0,0,2,1,1,1,0,1,1,0,7,0.0,0.0,0.0,0.0,0.00014381246854102252,2.8229617479538103e-05,0.0001330671989354624,2.6120378595338413e-05,0.00018158707100054475,3.564456966478449e-05,5.407159078620093e-05,1.0613963725747171e-05,0.0,0.0,7.464914899970141e-05,1.4653228213195596e-05,0.0001289490651192779,2.53120109792351e-05,0.0,0.0
tile,1,0,2,0,0,2,0,2,2,0,9,9.073586788857636e-05,7.907646830496345e-06,0.0,0.0,0.00014381246854102252,1.253328190391892e-05,0.0,0.0,0.0,0.0,0.00010814318157240186,9.424697276835753e-06,0.0,0.0,0.00014929829799940282,1.3011372905180682e-05,0.0002578981302385558,2.2475867367865944e-05,0.0,0.0
tiled,0,0,0,1,0,2,0,2,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0001330671989354624,4.556522698898287e-05,0.0,0.0,0.00010814318157240186,3.7030678146664464e-05,0.0,0.0,0.00014929829799940282,5.112312344314815e-05,0.0,0.0,0.0,0.0
till,1,0,1,0,0,1,0,0,0,0,3,9.073586788857636e-05,5.119965796557141e-05,0.0,0.0,7.190623427051126e-05,4.0574633669271773e-05,0.0,0.0,0.0,0.0,5.407159078620093e-05,3.0511053879018197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
